r,rho,p,p_over_rho
0.0,0.16066939324242374,0.02602100713180642,0.16195372750642675
0.008009410787131898,0.16063945783801614,0.026015019743688392,0.16194663561378012
0.016018821574263795,0.16054971610782257,0.025997066792883623,0.16192533641993123
0.024028232361395695,0.16040036118225615,0.02596717588461764,0.16188975943210152
0.03203764314852759,0.16019171388588188,0.025925392909778897,0.1618397873453539
0.040047053935659487,0.15992422115796523,0.025871781869073747,0.16177525631667064
0.04805646472279139,0.15959845386057128,0.025806424628604867,0.1616959563477346
0.056065875509923285,0.15921510399323113,0.0257294206086106,0.16160163177549072
0.06407528629705518,0.15877498133818363,0.025640886407564557,0.161491981869301
0.07208469708418708,0.1582790095648711,0.02554095536427238,0.16136666153324866
0.08009410787131897,0.1577282218266591,0.02542977706101009,0.16122528211189133
0.08810351865845087,0.15712375588661598,0.02530751677112281,0.16106741229750948
0.09611292944558278,0.15646684881257303,0.025174354854838925,0.1608925791366485
0.10412234023271467,0.15575883128457194,0.025030486107351497,0.16070026913350877
0.11213175101984657,0.15500112156015117,0.024876119063471633,0.16048992944749743
0.12014116180697847,0.15419521914472153,0.024711475263367748,0.1602609691820246
0.12815057259411036,0.15334269821552277,0.024536788484067488,0.16001276076139664
0.13615998338124227,0.1524452008483345,0.02435230394151584,0.15974464139244102
0.14416939416837415,0.15150443009625875,0.024158277468054087,0.15945591460728284
0.15217880495550606,0.15052214296950137,0.023954974670209562,0.15914585188348862
0.16018821574263795,0.14950014336419462,0.023742670071668248,0.15881369433759776
0.16819762652976986,0.1484402749869488,0.023521646246241798,0.15845865448787314
0.17620703731690174,0.1473444143200377,0.023292192945541128,0.1580799180819274
0.18421644810403365,0.14621446366995286,0.023054606225931994,0.15767664598471406
0.19222585889116556,0.14505234433955425,0.022809187579178103,0.1572479761222189
0.20023526967829744,0.14385998996124574,0.02255624307097666,0.15679302547604138
0.20824468046542935,0.14263934002556625,0.022296082491364628,0.1563108921239284
0.21625409125256123,0.14139233363636147,0.022029018520723944,0.1558006573212029
0.22426350203969314,0.14012090352033987,0.02175536591484548,0.15526138761792585
0.23227291282682502,0.13882697031536462,0.021475440712227338,0.15469213700654066
0.24028232361395693,0.13751243715834435,0.02118955946648828,0.15409194909467488
0.24829173440108881,0.13617918459010142,0.02089803850647404,0.15345985929771147
0.2563011451882207,0.13482906579115697,0.020601193226327513,0.1527948970456983
0.26431055597535263,0.13346390215901807,0.02029933740748631,0.15209608799913765
0.27231996676248454,0.13208547923431874,0.01999278257426621,0.15136245626818035
0.2803293775496164,0.13069554298007413,0.01968183738438897,0.15059302662975788
0.2883387883367483,0.12929579641539637,0.019366807055521577,0.14978682673720245
0.2963481991238802,0.12788789660229355,0.019047992828612213,0.14894288931694422
0.30435760991101213,0.1264734519816616,0.018725691468538846,0.14806025434692835
0.312367020698144,0.12505402005228689,0.018400194802331283,0.14713797121146444
0.3203764314852759,0.12363110538461108,0.018071789294987303,0.14617510082730992
0.3283858422724078,0.12220615795918172,0.017740755662680203,0.14517071773589202
0.3363952530595397,0.12078057181811247,0.017407368522948684,0.1441239121566921
0.3444046638466716,0.11935568401651081,0.017071896081271996,0.14303379199695584
0.3524140746338035,0.11793277385969125,0.016734599853262862,0.14189948481303935
0.3604234854209354,0.11651306241106613,0.016395734421559033,0.14072013971887332
0.3684328962080673,0.11509771225489274,0.0160555472263604,0.1394949292372046
0.3764423069951992,0.11368782749753556,0.01571427838844291,0.13822305108947178
0.3844517177823311,0.1122844539905664,0.015372160563381605,0.13690372992037794
0.39246112856946297,0.11088857975885952,0.015029418825633472,0.13553621895344625
0.4004705393565949,0.10950113561682795,0.014686270581064646,0.13411980157407322
